"time","slipAngleFrontWheel","slipAngleRearLeftWheel","slipAngleRearRightWheel","forceFrontWheel[1,2]","forceRearLeftWheel[1,2]","forceRearRightWheel[1,2]"
17.7,0.02207700498934565,0.02173320787146702,0.02556937886323232,393.0605049092359,580.9366458953521,674.8257616892964
17.8,0.02091815909721225,0.02098684499855917,0.02455148336244012,373.7290681924457,562.2380238916013,650.3063609082267
17.9,0.01976743386935221,0.02023167212894494,0.02353058489333275,354.3249988011888,543.1852489347475,625.4276943458663
18,0.01862415167292306,0.01946648010150545,0.02250601951305475,334.8522096545905,523.7474375853856,600.1824285740184
18.1,0.01748724048783823,0.0186909320995428,0.02147813386286446,315.3071140118709,503.9159409901452,574.5885565944903
18.2,0.01635735659843543,0.01790509141818561,0.02044765736993668,295.7151211189561,483.692514458405,548.6742502879165
18.3,0.01523342231544581,0.0171090046363913,0.01941530652098289,276.0711384309407,463.0788214829424,522.4681979732691
18.4,0.01411489427524028,0.01630208053467068,0.01838101528895911,256.3785889553328,442.0603032145144,495.9798147321486
18.5,0.01300123503744111,0.01548415345500198,0.01734517658347189,236.6403896898839,420.6335907829212,469.2304456302521
18.6,0.01189194528150694,0.01465501854433946,0.0163081058704034,216.859606930676,398.794612950894,442.2398783989516
18.7,0.01078657899485954,0.01381453868935665,0.01527016342812072,197.0398017150648,376.5414429767214,415.0294539573127
18.8,0.009684561373657329,0.01296255306721878,0.01423165189489335,177.1818077855053,353.8718843266767,387.6192442346111
18.9,0.008585524830516644,0.01209899530771091,0.0131929469192006,157.289820965884,330.7867007501707,360.0315895909133
19,0.007488850103742323,0.01122362873556161,0.01215420918584841,137.3631903880811,307.2825705782849,332.283277134136
19.1,0.006394146989583542,0.01033647170990906,0.01111584755674783,117.4050924149831,283.3633833501671,304.3978347863547
19.2,0.005301101192289795,0.009437680086898517,0.01007838532621631,97.41997842510325,259.037559275544,276.4022958825302
19.3,0.004209646249899702,0.00852778208329125,0.00904270742023853,77.41656254269915,234.3239299001219,248.3333502377537
19.4,0.003118822296837978,0.007605938667688062,0.008008214582536132,57.3871755060423,209.2051660351995,220.1878984034555
19.5,0.002028510516070628,0.006672716249699543,0.006975772694849443,37.33939615159309,183.7025699717039,192.0023973599732
19.6,0.0009385222835096736,0.005728321023808602,0.005945829666264674,17.27946938113219,157.8283335848,163.8019770826162
19.7,-0.0001513421197264408,0.004773062738271888,0.004918908281372947,-2.786579997598792,131.5982322808475,135.6138381642048
19.8,-0.001241209721493595,0.003807265205369068,0.003895511499883622,-22.85140598599705,105.029142017776,107.4645561343247
19.9,-0.002331259595572207,0.00283128341589128,0.002876140351165388,-42.90861510264387,78.13946943700577,79.38049434245556
20,-0.003421556772549275,0.001845580078342823,0.001861370395393891,-62.94970243335391,50.95131260138338,51.38989806946856
20.1,-0.004512036579603461,0.0008506920873209961,0.0008518153724606465,-82.96376659039289,23.48948723907979,23.52181158801061
20.2,-0.005602622216726157,-0.000152775919970318,-0.0001518809539715001,-102.9396774229225,-4.21867836796029,-4.194199158293058
20.3,-0.006693163300350724,-0.001164152080288893,-0.001149046896921648,-122.8649718227971,-32.14340226029642,-31.72817445565314
20.4,-0.007783392681137169,-0.002182688758482134,-0.002138975963450482,-142.7250855471958,-60.2522776739831,-59.04963827280382
20.5,-0.008872984938661965,-0.003207549197045276,-0.003120915636250819,-162.5044752398103,-88.50998377358539,-86.12736001319054
20.6,-0.009961538594956885,-0.004237847953807595,-0.004094108605225313,-182.1863273272887,-116.8794891582349,-112.930558979906
20.7,-0.01104855728311234,-0.005272642520941638,-0.005057785519106914,-201.7523299931013,-145.3219605027787,-139.4288024250423
20.8,-0.01213334425366883,-0.006310702417534678,-0.006010946042855625,-221.1807879550637,-173.7905061852946,-165.5860258174058
20.9,-0.0132152747815712,-0.007350938227431097,-0.006952772843753164,-240.4516678420514,-202.2421657989241,-191.3720241271755
21,-0.01429365306995623,-0.008391988839435824,-0.007882237518808472,-259.5440960905897,-230.6267750647743,-216.7517222090179
21.1,-0.01536705326651969,-0.009432753067406315,-0.008798604752581062,-278.4248751795772,-258.9015726296889,-241.6989882401276
21.2,-0.01643498315084842,-0.01047165558695423,-0.009700746216280884,-297.0778875001792,-287.0114497312932,-266.1779631509232
